group,cond,RQI,Phi_z,Syn_z
A,ses-1,-0.4562134593022968,-0.842907995685535,0.3866945363832382
A,ses-1,-2.7781577758138836,-1.0143448386324307,-1.763812937181453
A,ses-1,-0.43289659237675276,-0.48098577168653195,0.048089179309779205
A,ses-1,-0.11704205457300126,-0.45377357439337285,0.3367315198203716
A,ses-1,1.063456230746543,0.27823453279257765,0.7852216979539653
A,ses-1,0.46631573896025663,0.4224591784463165,0.04385656051394016
A,ses-1,-0.7017802719836691,-0.48098577168653195,-0.22079450029713715
A,ses-1,-0.586762190840517,-0.48098577168653195,-0.10577641915398497
A,ses-1,-0.2774629215459725,-0.3558096641380046,0.07834674259203209
A,ses-1,0.24814856685737025,-0.32859746684484764,0.5767460337022179
A,ses-1,0.0918191081410793,-1.0143448386324296,1.106163946773509
A,ses-1,0.03073183847715888,-1.9722141833515943,2.002946021828753
A,ses-1,0.5637131251035239,-0.035871973105585604,0.5995850982091095
A,ses-1,-0.2811854279679801,-0.32859746684484764,0.047412038876867575
A,ses-1,-0.6567671148040691,-0.8293018970389571,0.17253478223488797
A,ses-1,-0.4558451930779329,-0.910938488918429,0.45509329584049607
A,ses-1,1.1052416177156799,0.4442289362808409,0.661012681434839
A,ses-1,0.043482869044985384,-0.1843728211911099,0.22785569023609528
A,ses-1,-0.36680109257526833,-0.18437282119110882,-0.1824282713841595
A,ses-1,-1.2680864901846998,-0.21974867767221556,-1.0483378125124843
A,ses-1,-2.1509247581917257,-0.2877791709051095,-1.8631455872866163
A,ses-1,-1.6340774407176515,-1.6864861117734349,0.05240867105578349
A,ses-1,-1.49758388731215,-1.3408912061503229,-0.15669268116182722
A,ses-1,-1.1692949400978216,-1.0143448386324307,-0.15495010146539087
A,ses-1,-0.44059803641195416,-0.842907995685535,0.4023099592735808
A,ses-1,0.16278441784543357,-0.32859746684484764,0.4913818846902812
A,ses-1,-0.2433428557798825,-0.2877791709051095,0.04443631512522702
A,ses-1,0.09565993591586347,-0.48098577168653195,0.5766457076023954
A,ses-1,0.7994298264005114,-0.5081979689796899,1.3076277953802014
A,ses-1,4.185961046522271,1.4918985320674314,2.6940625144548402
A,ses-1,3.0889611091297056,1.0701742649694188,2.0187868441602865
A,ses-1,0.852328595699998,0.6510416357088434,0.2012869599911545
A,ses-1,-0.017743830727584176,-0.21158501848426683,0.19384118775668266
A,ses-1,-1.1385058527809806,-0.842907995685535,-0.29559785709544556
A,ses-1,-0.9268880471596145,-0.8565140943321129,-0.07037395282750154
A,ses-1,-2.1251915766789367,-2.2171239589900162,0.09193238231107936
A,ses-1,-2.4891733833298604,-2.2443361562831745,-0.24483722704668587
A,ses-1,-1.5549218116058046,-2.2171239589900162,0.6622021473842117
A,ses-1,-2.122238310737257,-2.1354873671105423,0.013249056373285158
A,ses-1,-1.0039902175465567,-1.0143448386324307,0.010354621085874049
